ident,latitude_deg,longitude_deg,term
EDHO,53.7003,9.7421,
UWWE,53.6961,49.4915,
EIHH,53.6955,-6.6541,
UHBE,53.687,127.091,
CYCA,53.6825,-57.0423,
EDWJ,53.6814,7.0564,
CKQ2,53.6786,-103.35,
EPBB,53.6696,21.2527,
CZVL,53.6675,-113.854,
CRF3,53.6457,-113.8028,
EDHE,53.6455,9.7035,
EIMH,53.6378,-6.8786,
EDWS,53.6331,7.1903,
EDDH,53.6304,9.9882,
UIAU,53.6195,114.034,
EDBP,53.6153,11.5611,
EPGR,53.6081,20.3497,
EDBN,53.6022,13.306,
UMMG,53.602,24.0538,
EDWR,53.5964,6.7092,
EPSC,53.5847,14.9022,
EGOW,53.5816,-3.0555,
CGF2,53.5763,-112.982,
EGNJ,53.5762,-0.3495,
EITM,53.5747,-6.7386,
CYAD,53.5717,-76.1964,
EDOW,53.5683,12.6528,
EDXZ,53.5681,8.7894,
CJS6,53.5667,-92.95,
CZUM,53.5619,-64.1064,
EISS,53.5614,-6.0928,
EDHS,53.5611,9.4992,
EGCF,53.5594,-0.859,
ETNT,53.5478,7.6673,
CJJ3,53.5465,-115.2607,
EICD,53.5427,-7.0612,
UIAC,53.5383,115.6151,
CSP3,53.5375,-114.068,
EDHI,53.5353,9.8356,
EPGI,53.5244,18.8492,
CJW8,53.5167,-96.3667,
UHSH,53.5164,142.8814,
EIBA,53.5056,-6.2378,
EDCV,53.5053,13.9483,
UWWW,53.5049,50.1643,
EDWI,53.5022,8.0522,
EPSY,53.4819,20.9377,
CPL6,53.4741,-113.8243,
EGCB,53.4717,-2.3897,
CEE6,53.4711,-113.1557,
CCE4,53.4698,-55.7875,
EPNA,53.4549,16.4895,
EHAL,53.4536,5.6784,
CZMD,53.4414,-91.7628,
EIDW,53.4287,-6.2621,
CEZ3,53.4275,-113.116,
CEE7,53.4223,-113.1043,
CRH3,53.42,-57.694,
CAY4,53.4167,-129.25,
KCN,53.4029,-167.5203,
EPMI,53.3951,16.0828,
EDWE,53.3911,7.2275,
EPSD,53.3907,14.6328,
UNAU,53.3852,92.0447,
CEE4,53.3814,-117.701,
EGCS,53.3812,-0.6848,
CEV7,53.3713,-112.6967,
EDAN,53.3597,11.6153,
CYVG,53.3577,-110.8274,
EIWT,53.3516,-6.4904,
CCB5,53.35,-60.4167,
EGCC,53.3494,-2.2795,
CGF5,53.3454,-114.1558,
EDXS,53.3356,9.2594,
EGGP,53.3336,-2.8497,
EDWK,53.3328,9.0283,
UACK,53.3291,69.5946,
EDWP,53.3214,8.0733,
CEC4,53.3192,-117.753,
CYYR,53.3192,-60.4258,
EGNF,53.3172,-1.1956,
EGNW,53.3167,-0.3497,
CAV4,53.315,-120.171,
EGCG,53.3108,0.1721,
CYEG,53.3097,-113.58,
CYLL,53.3092,-110.073,
EDAX,53.3064,12.7522,
EGCA,53.3048,-1.4289,
EIME,53.3017,-6.4513,
EICM,53.3002,-8.9416,
EDWX,53.2886,7.9306,
EDXU,53.2867,8.9472,
CFQ7,53.281,-113.4559,
EGNE,53.2806,-0.9514,
CHM2,53.275,-107.5703,
EDWF,53.2719,7.4417,
CER3,53.2658,-114.96,
EGOQ,53.2586,-4.3736,
CAQ6,53.2528,-132.0742,
EDHG,53.2483,10.4587,
EGOV,53.2481,-4.5353,
UWWS,53.2413,50.375,
UWWG,53.22,50.325,
UIIH,53.2179,107.4105,
CFH8,53.2178,-114.3366,
CBE7,53.2147,-131.9921,
UUBP,53.2142,34.1764,
EHOW,53.2088,7.0331,
EDHU,53.2075,9.5733,
EPZI,53.1885,18.9617,
CMF2,53.1847,-113.7382,
EDBU,53.18,12.1846,
EIGN,53.1786,-6.6353,
EGNR,53.1781,-2.9778,
EGNI,53.1716,0.3294,
EPPI,53.1701,16.7111,
UHPP,53.1676,158.4519,
EGXW,53.1662,-0.5238,
EDXL,53.1644,7.7939,
EIBF,53.1615,-7.2674,
UHNN,53.155,140.65,
EDXQ,53.1283,9.3486,
EHGG,53.1197,6.5794,
EHDR,53.1179,6.1273,
CKM6,53.1167,-99.8,
CWL3,53.116,-113.769,
EHTX,53.115,4.8306,
CEE8,53.109,-111.8649,
CJM6,53.1078,-103.651,
EIIM,53.1067,-9.6536,
UMNB,53.105,29.205,
EGCK,53.1018,-4.3376,
EPBK,53.1014,23.1706,
UMMA,53.1,26.05,
CJH3,53.0979,-109.3288,
EPBY,53.0968,17.9777,
EGXC,53.093,-0.166,
EIMN,53.093,-9.5681,
CRK2,53.0778,-113.5066,
UHBP,53.0761,132.951,
CBE8,53.0758,-125.401,
CAS2,53.0738,-125.4084,
EINC,53.0711,-6.0453,
EDWH,53.0689,8.3136,
EIIR,53.0647,-9.5109,
EIKH,53.0636,-6.8553,
EDWM,53.0539,9.2086,
CKE5,53.05,-93.3333,
EDDW,53.0468,8.7893,
EDWQ,53.0361,8.5056,
EGYD,53.0303,-0.4832,
EPTO,53.0292,18.5459,
UHPH,53.0262,158.722,
CVS2,53.0256,-111.949,
EDHC,53.0172,11.1447,
UMGI,53.0147,29.8785,
CYNC,53.0106,-78.8311,
UHBO,53.0044,128.6627,
EHST,52.9986,7.0228,
CZNG,52.9965,-97.2742,
CYJA,52.9964,-118.0602,
CPV8,52.9911,-92.8364,
EDVU,52.9837,10.4654,
CBT3,52.9701,-125.0287,
EDWV,52.9653,9.2828,
EGYE,52.9606,-0.5594,
CYWP,52.9594,-87.3749,
CKP6,52.9483,-91.3492,
CZRJ,52.9436,-91.3128,
PAKO,52.9416,-168.8495,
EPMY,52.9412,15.0298,
CCX5,52.9333,-66.9,
EGCT,52.9324,-2.6474,
EIMS,52.9305,-8.4245,
CYAT,52.9275,-82.4319,
EHKD,52.9234,4.7806,
EGBN,52.92,-1.0792,
ETHS,52.9194,10.1858,
EDBK,52.9189,12.4253,
ZYMH,52.9169,122.4228,
UIIB,52.915,103.575,
EPHN,52.9088,23.5413,
EDWU,52.9083,8.0406,
CKL3,52.8939,-89.2892,
EGOE,52.8728,-2.5327,
CJZ3,52.8667,-104.7,
EGBD,52.8597,-1.6175,
CAH4,52.8527,-119.3363,
EISP,52.8458,-9.4149,
EPGY,52.837,21.7776,
CJY3,52.8367,-104.067,
EGCV,52.8348,-2.7703,
CVM2,52.8328,-83.9248,
EGNX,52.8311,-1.3281,
CFP7,52.8306,-111.101,
PAAT,52.8298,173.1738,
EPIR,52.8294,18.3306,
EDAI,52.8267,12.5419,
EDAV,52.8263,13.7013,
YRD,52.8237,-126.965,
CYHB,52.8167,-102.311,
EGBM,52.8143,-1.7679,
EIER,52.8125,-8.2822,
EGFD,52.8117,-4.1236,
EPIN,52.8065,18.2807,
UUOT,52.8061,41.4828,
EGOS,52.7982,-2.668,
CYWV,52.7964,-110.8584,
CEK6,52.7954,-111.7604,
EDBF,52.7935,12.7603,
CYQW,52.7694,-108.2437,
CCH4,52.7658,-56.1124,
EDVH,52.7619,9.6106,
EDOR,52.7408,12.39,
CKU4,52.7401,-109.0144,
EGCL,52.7392,-0.0297,
CJC6,52.7325,-107.375,
EHHO,52.7308,6.5161,
CFX5,52.73,-72.221,
ETWM,52.7232,7.3263,
CEL8,52.7189,-76.0798,
PASY,52.7123,174.114,
EDXI,52.7097,9.1625,
EDCL,52.7094,12.0733,
EINN,52.702,-8.9248,
EDVC,52.6872,10.1114,
CFC7,52.6816,-114.2365,
EGSH,52.6758,1.2828,
EICN,52.6665,-8.6818,
EPMX,52.6652,20.4284,
EDOI,52.6617,12.7458,
UIAY,52.6594,115.2426,
CYVZ,52.6556,-94.0612,
CEH3,52.6517,-113.606,
EDUA,52.6506,12.4878,
CKT7,52.6491,-105.7631,
EGYM,52.6484,0.5507,
EGSI,52.6436,0.295,
EGWC,52.64,-2.3056,
EPZL,52.6355,20.0704,
EGSD,52.6347,1.7223,
EDBW,52.6317,13.7669,
EGSA,52.6294,0.9281,
EDOV,52.6289,11.8186,
EGCW,52.6286,-3.1533,
CAX5,52.6167,-121.5,
EDON,52.6131,14.2428,
EGXT,52.6126,-0.4765,
YKT,52.6076,-128.5218,
CKM8,52.6067,-90.3769,
EGBG,52.6066,-1.0302,
ETHC,52.5912,10.0221,
ETND,52.5856,8.3422,
EPWK,52.5847,19.0156,
UMNV,52.5823,24.3799,
EDAY,52.5806,13.9167,
CCA6,52.5674,-55.7849,
EPPL,52.5622,19.7203,
CFK2,52.5579,-112.9641,
EGSP,52.5571,-0.387,
EDOC,52.5296,11.3494,
EGBO,52.5175,-2.2594,
CBK6,52.514,-121.0459,
EGSJ,52.511,1.4169,
EGSV,52.4975,1.0519,
EG74,52.493,-1.1251,
CKQ3,52.49,-92.9711,
CKS3,52.4881,-105.764,
EDWC,52.4876,8.1852,
EDCE,52.4817,14.0875,
EGSF,52.4681,-0.2511,
EDDV,52.4611,9.6851,
EDWN,52.4575,7.1822,
ETNW,52.4573,9.4272,
EGBB,52.4539,-1.748,
EHLE,52.4532,5.5146,
CAJ4,52.4515,-125.3038,
EPMO,52.4511,20.6518,
CKE8,52.4458,-109.185,
EDBE,52.4375,12.59,
EPVA,52.4359,21.33,
EGSM,52.4353,1.6183,
EPPK,52.4346,17.044,
CYRM,52.4297,-114.904,
EPPO,52.4216,16.8234,
EGUL,52.4095,0.5612,
CYBD,52.3875,-126.596,
UHNB,52.381,140.4494,
EPPW,52.3801,17.8532,
EDXA,52.3772,7.9133,
CCK4,52.3728,-55.6739,
EGBE,52.3697,-1.4797,
CAH2,52.3667,-127.717,
EDDB,52.3622,13.5007,
EPZB,52.3621,16.6387,
EGUN,52.3619,0.4864,
CYBV,52.3589,-97.0183,
EDXD,52.3514,8.3283,
CAM4,52.3462,-114.6675,
CJJ8,52.3436,-109.9202,
EGXH,52.3426,0.7729,
EPKS,52.3317,16.9664,
CAF8,52.327,-125.145,
UACS,52.3267,71.8557,
EPKB,52.3195,18.1643,
EDVE,52.3192,10.5561,
EHAM,52.3086,4.7639,
EDCS,52.3083,13.1006,
EGBK,52.3053,-0.7931,
CYMH,52.3028,-55.8474,
ETHE,52.2912,7.387,
CRD5,52.287,-113.9132,
EDWO,52.2864,7.9697,
EDCF,52.2833,13.8069,
CZKE,52.2825,-81.6778,
CRF5,52.2803,-106.6842,
ETHB,52.2785,9.0822,
CRD6,52.2782,-113.9151,
EDXE,52.2764,7.4928,
EHTW,52.2758,6.8892,
EPBC,52.2692,20.9072,
UIII,52.268,104.389,
EPRS,52.2428,20.1266,
EHTE,52.2428,6.05,
EDBG,52.2418,11.8562,
EGBS,52.2417,-2.8811,
EGSW,52.2351,0.3506,
EGBF,52.2325,-0.4456,
CBH7,52.228,-114.2562,
CZEM,52.2264,-78.5225,
ZYTH,52.2244,124.7202,
YOI,52.2219,-76.6119,
EDVY,52.2214,8.8598,
CER2,52.2209,-111.9269,
PAAK,52.2203,-174.206,
KCA2,52.2188,-123.4495,
EGSC,52.205,0.175,
EDAZ,52.2046,13.1595,
CYFA,52.2035,-81.6952,
EDXG,52.2008,8.3806,
CSF5,52.199,-114.2373,
EDAE,52.1972,14.5857,
CYLH,52.1956,-87.9342,
EPMM,52.1955,21.6559,
EHHV,52.1919,5.1469,
EGBW,52.1894,-1.6141,
EIWF,52.1872,-7.087,
CBBC,52.185,-128.157,
CYWL,52.1831,-122.054,
CYQF,52.1822,-113.894,
EIKY,52.1809,-9.5238,
EDVM,52.1798,9.9458,
EDVR,52.1753,9.0533,
EGSO,52.1725,1.1106,
CSR2,52.1685,-101.5911,
CAR9,52.1667,-128.133,
EGMJ,52.166,-0.1492,
EPWA,52.1657,20.9671,
UMBK,52.164,24.3999,
EDVS,52.1544,10.4267,
CAW8,52.15,-128.083,
EDOJ,52.1427,12.6714,
EPZG,52.1385,15.7986,
CYJQ,52.1365,-128.0562,
EDDG,52.1346,7.6848,
CKV2,52.1333,-103.535,
EGUW,52.1275,0.9562,
CZJN,52.1206,-101.236,
CYCP,52.1167,-119.283,
EGFA,52.1153,-4.5569,
CYHP,52.1133,-94.2556,
UMBB,52.1083,23.8981,
EIRT,52.1056,-8.9833,
EGSU,52.0908,0.1319,
EGTH,52.0846,-0.3201,
CEM4,52.0786,-114.027,
UWOH,52.0778,59.6865,
EGMA,52.0775,0.0617,
EGST,52.0755,0.9777,
CYCT,52.075,-111.445,
EDBM,52.0736,11.6264,
EGTC,52.0722,-0.6167,
CJR2,52.0695,-109.3751,
EHDL,52.0606,5.8731,
EHTL,52.0572,5.9244,
CZGR,52.0454,-95.4662,
EGBT,52.0408,-1.0956,
EDOL,52.0381,11.2056,
EDVJ,52.0307,10.3625,
UIAA,52.0263,113.306,
UNBM,52.0251,80.3379,
CFG3,52.0238,-110.7488,
EGWE,52.0182,-0.3039,
CDC5,52.0108,-121.2107,
CSU6,52.0075,-121.445,
EPLY,52.0049,19.1438,
EG34,52.0019,-2.4742,
EDUZ,52.0008,12.1486,
CJN5,52.0006,-106.4628,
CEW2,52.0002,-106.1163,
EDOZ,51.9971,11.7898,
EDLS,51.9958,6.8406,
CFS8,51.9881,-115.228,
EPZP,51.9789,15.4639,
UNBG,51.9692,85.8365,
EDVW,51.9667,9.2917,
EDLI,51.9647,8.5444,
EHRD,51.9569,4.4372,
CAQ4,51.9549,-122.14,
EDVT,51.952,9.662,
EPSJ,51.9511,21.3525,
EDOM,51.9475,11.7697,
EDLT,51.9447,7.7736,
EDLJ,51.9408,8.9047,
EDLO,51.9322,8.6617,
EDLQ,51.9317,8.0817,
EDVF,51.9172,9.1117,
EGSR,51.9144,0.6825,
CRS7,51.905,-72.1239,
EDOD,51.9008,13.1944,
CTY4,51.9002,-114.1478,
EDBO,51.8997,13.0528,
EGSL,51.895,0.4492,
EGSS,51.885,0.235,
PADK,51.8836,-176.6428,
EPGS,51.8755,20.9377,
EGGW,51.8747,-0.3683,
EGVL,51.8665,-1.695,
ZNU,51.8628,-127.8694,
UWSB,51.8583,47.7456,
EDBC,51.8564,11.4203,
EDVA,51.8542,10.0256,
EDLY,51.8533,6.8147,
EICK,51.8413,-8.4911,
EGTK,51.8369,-1.32,
EPLS,51.835,16.5219,
EDAD,51.8318,12.184,
EDLU,51.8306,8.1747,
CCA5,51.8245,-102.3763,
CYPM,51.8197,-93.9733,
CYYO,51.8099,-104.1698,
UIUU,51.8086,107.4397,
EDVI,51.8067,9.3783,
CKH4,51.8,-93.9833,
CAW3,51.7954,-123.5816,
EGWN,51.7907,-0.738,
EGSQ,51.785,1.13,
CZTA,51.7846,-96.6923,
UHSN,51.784,143.1418,
EDLB,51.78,7.2881,
ETSH,51.7678,13.1677,
EDCQ,51.7669,11.4983,
CAN5,51.7652,-106.0668,
UUOK,51.7506,36.2956,
EGVN,51.75,-1.5836,
EDCB,51.7458,11.2297,
CYAC,51.7272,-91.8244,
EDCK,51.7237,11.9488,
EPLL,51.7219,19.3981,
EGSX,51.7217,0.1542,
EGFP,51.7139,-4.3122,
UWSG,51.7128,46.1711,
CEA3,51.7119,-114.107,
EDVN,51.7064,10.0397,
EPOM,51.7008,17.8466,
CYHH,51.6911,-76.1356,
EDLG,51.6908,6.1042,
EGUD,51.6906,-1.3166,
EDLH,51.6897,7.8161,
EDLR,51.6883,8.7753,
CKU7,51.6871,-105.3623,
EDAP,51.6847,14.4231,
CAU8,51.684,-127.264,
EGVA,51.6836,-1.7892,
EIBN,51.6772,-9.4871,
EGLJ,51.6761,-1.0808,
EDBQ,51.6721,13.9601,
UNKY,51.6694,94.4006,
EGBP,51.6685,-2.0566,
EDLX,51.6628,6.5958,
UHBN,51.6603,128.9329,
CYKP,51.6586,-85.9017,
EHVK,51.6572,5.7078,
EGTR,51.6558,-0.3258,
EGSG,51.6525,0.1558,
UUOD,51.6523,39.2555,
CFR7,51.6514,-115.239,
EDLM,51.6472,7.1633,
EDAS,51.6346,13.6751,
EGTW,51.6322,-2.0147,
CEL4,51.6322,-111.9047,
CJR7,51.6289,-102.4491,
EPNM,51.6283,20.5412,
CAG3,51.6258,-124.1445,
EDLD,51.616,6.8613,
EGUB,51.6144,-1.096,
EDLP,51.6141,8.6163,
EPDK,51.6126,23.0072,
EGTB,51.6118,-0.8083,
EDVL,51.6109,9.3984,
CKT8,51.6108,-96.8172,
EDUS,51.6073,13.7375,
EDLV,51.6024,6.1422,
CMA4,51.6014,-88.5808,
EGFH,51.6014,-4.071,
EDOX,51.5951,12.2379,
EGLD,51.5883,-0.5131,
EPTM,51.5844,20.0978,
EDLZ,51.5781,8.2147,
EDAW,51.5778,12.4944,
EDCY,51.5756,14.1369,
EDOG,51.5709,13.0516,
EGMC,51.5706,0.6936,
EHGR,51.5674,4.9318,
CJX4,51.5645,-107.9166,
CYFH,51.5619,-87.9078,
EDUY,51.5578,14.105,
EHSE,51.5549,4.553,
EGWU,51.553,-0.4182,
EDAQ,51.5522,12.0539,
EPLK,51.5517,19.1791,
EPDE,51.5514,21.8936,
EDUF,51.5478,13.2281,
EDUO,51.5425,11.5958,
EGMT,51.5375,0.3676,
EDLC,51.5292,6.5361,
EGML,51.5276,0.2442,
CAF4,51.5264,-124.164,
EDLW,51.5183,7.6122,
CYKY,51.5175,-109.181,
EHMZ,51.5122,3.7311,
CBL9,51.5105,-123.8062,
EGLC,51.5053,0.0553,
EGLM,51.5008,-0.7744,
UWOD,51.4993,59.9367,
EDAO,51.4935,10.8376,
EDBZ,51.4919,13.8794,
EDLA,51.4839,7.8983,
EPRP,51.4789,21.11,
CYKQ,51.4733,-78.7583,
EGLL,51.4706,-0.4619,
CKG4,51.4667,-90.2,
EDAT,51.4511,14.1994,
EHEH,51.4501,5.3745,
EHWO,51.4491,4.342,
CYPL,51.4464,-90.2142,
CYBX,51.4436,-57.1853,
CCL9,51.4392,-107.002,
EPLU,51.423,16.1962,
CBY6,51.4219,-121.214,
EDVK,51.4207,9.3922,
EDDP,51.4207,12.2327,
CBR9,51.4125,-114.5802,
EDHD,51.4076,10.1453,
EGDX,51.4052,-3.4333,
EDKO,51.4028,8.643,
EDLE,51.4023,6.9373,
EGFF,51.3967,-3.3433,
EDCT,51.395,12.5369,
EBWE,51.3948,4.9602,
CFV2,51.3933,-113.472,
CYAY,51.3919,-56.0832,
EPRA,51.3894,21.2147,
EDLK,51.385,6.5878,
EGLP,51.3835,-1.1721,
EPPT,51.3831,19.6883,
EGGD,51.3827,-2.7191,
EDBT,51.3806,11.4467,
EDVG,51.3764,8.9811,
EDOF,51.3725,11.1414,
EDBR,51.3633,14.95,
EDAM,51.3626,11.9411,
EPZK,51.3602,18.8221,
EGTO,51.3519,0.5033,
EGTF,51.3481,-0.5589,
EBBT,51.3426,4.5035,
EDLF,51.3339,6.3594,
EGMF,51.3328,0.6011,
EGLK,51.3239,-0.8475,
EDKD,51.3125,7.7041,
EDAK,51.3081,13.5556,
EDGW,51.3072,9.1753,
EBHN,51.3061,4.3872,
EDKM,51.3028,8.2392,
CYGE,51.2992,-116.982,
EDKW,51.2972,7.8183,
EDCM,51.2969,14.1275,
EDOQ,51.2968,13.0787,
CDO2,51.295,-112.6102,
EDAU,51.2936,13.3561,
EDDL,51.2895,6.7668,
EGDJ,51.2866,-1.7822,
EGLF,51.2758,-0.7763,
EDCI,51.2726,14.5063,
EBZR,51.2691,4.7624,
EBSM,51.2683,4.1755,
EDCO,51.2678,10.6347,
CBR4,51.2668,-121.6858,
CNB7,51.2667,-80.65,
CEF4,51.2639,-113.934,
EBZU,51.2556,3.1399,
EPKD,51.2553,20.4713,
EHBD,51.2553,5.6014,
EDGK,51.2522,8.8736,
CJC3,51.2478,-105.977,
EGDN,51.2472,-1.7543,
EDBL,51.2458,11.6933,
CBJ4,51.2417,-121.9898,
EPLB,51.2402,22.7135,
EGVO,51.2341,-0.9428,
EPSW,51.2319,22.6903,
EDLN,51.2303,6.5044,
EPLR,51.2219,22.3947,
CJG2,51.2195,-109.3929,
EDOE,51.2139,12.3636,
EGKR,51.2136,-0.1386,
EDEQ,51.2131,10.5486,
CYIF,51.2117,-58.6583,
EGHO,51.2106,-1.6,
EGKE,51.2083,0.8292,
CYBA,51.2082,-115.5406,
EPWS,51.2061,16.9986,
CKY8,51.2036,-114.7763,
EBOS,51.1998,2.8747,
EDBS,51.1984,11.1918,
EGHP,51.1947,-1.2331,
EDAB,51.1936,14.5197,
EDKP,51.1919,7.791,
EBAW,51.1907,4.4632,
EGHL,51.1874,-1.0317,
EBKH,51.181,5.2211,
CEB4,51.1777,-113.2791,
EBBL,51.1683,5.47,
EDKR,51.1615,8.2607,
EDBX,51.1589,14.9503,
EGKH,51.1569,0.6417,
EGDM,51.1522,-1.7474,
EGKK,51.1488,-0.1921,
EDKU,51.1458,7.9367,
EBUL,51.1442,3.4756,
EGVP,51.1394,-1.5686,
EDDC,51.1341,13.7678,
CJH2,51.1333,-100.5,
CDJ5,51.1331,-113.56,
CKD9,51.13,-91.6656,
EDEB,51.1292,10.6222,
EDKN,51.1242,7.3736,
EBLE,51.12,5.3072,
CYYC,51.1188,-114.0099,
EGTD,51.1172,-0.5358,
ETHF,51.1146,9.286,
EPWR,51.1037,16.8821,
CYBW,51.1031,-114.374,
CYDN,51.1008,-100.052,
EDKZ,51.0994,7.5969,
EGLS,51.0989,-1.7842,
EBFN,51.0903,2.6528,
EGDC,51.0872,-4.1503,
EPCD,51.0821,23.437,
CKX4,51.0786,-97.4698,
UWOR,51.0725,58.5956,
EDEM,51.0627,9.422,
CFQ4,51.0575,-113.624,
EDKF,51.0521,7.7068,
CJL7,51.05,-92.8333,
EDCH,51.0434,12.2319,
CFX8,51.0421,-113.7545,
LFAK,51.0396,2.5491,
EDFQ,51.0353,8.681,
CKS4,51.0333,-93.8333,
UACC,51.027,71.4671,
CJY6,51.0167,-95.6833,
EBZW,51.0154,5.5265,
EDKL,51.0153,7.0056,
EGDY,51.0094,-2.6388,
CRT2,51.0092,-72.9836,
EBDT,51.004,5.0647,
EDGQ,51.0003,8.3091,
CKQ5,50.9941,-107.1298,
EDGE,50.9916,10.4797,
CAP9,50.9904,-113.3703,
EGHS,50.985,-2.3572,
EDAC,50.9819,12.5064,
EDDE,50.9798,10.9581,
EDAR,50.9796,13.9084,
CKG2,50.9718,-96.9989,
EBZH,50.9704,5.3753,
EDEG,50.97,10.7278,
EGHA,50.9672,-2.1536,
CRC3,50.9655,-119.2254,
EDOU,50.9651,11.3998,
EGDW,50.9643,-2.9384,
CYRV,50.9622,-118.1843,
LFAC,50.9621,1.9548,
ETNG,50.9608,6.0424,
EPMR,50.9578,16.7703,
EGMD,50.9562,0.9391,
UWSK,50.9555,46.9499,
EGHI,50.9503,-1.3568,
EBSL,50.9494,5.5935,
EBGB,50.9485,4.3918,
EDOH,50.9483,13.2617,
EPJS,50.944,15.7665,
EGHG,50.94,-2.6586,
UHKN,50.9353,138.1875,
EGHU,50.9287,-3.9884,
EDKH,50.9286,7.8992,
YBH,50.9179,-127.9372,
EDBJ,50.9153,11.7142,
EBMB,50.9134,4.491,
EHBK,50.9117,5.7701,
EDOB,50.9044,11.2603,
EBBR,50.9014,4.4844,
EPKL,50.8993,20.128,
EPJG,50.8989,15.7856,
EPKA,50.8967,20.7317,
CAV5,50.8854,-126.8311,
EPRU,50.8847,19.2018,
LFIS,50.8826,1.7358,
EDAJ,50.8817,12.1358,
EGKL,50.8811,0.1543,
CJD5,50.8779,-109.502,
EDFN,50.8744,8.815,
CKA2,50.869,-120.2741,
EDDK,50.8659,7.1427,
EGTU,50.861,-3.2339,
CJF4,50.8605,-110.6517,
EGHR,50.8598,-0.7601,
CYKT,50.8595,-120.6711,
UKHS,50.8583,34.7625,
EBMO,50.8513,3.1477,
EDEN,50.8441,9.7072,
CLC4,50.8434,-104.323,
EDBA,50.8419,11.0699,
YGN,50.839,-126.775,
EGKA,50.8356,-0.2972,
CJB8,50.8335,-108.0697,
ETNN,50.8312,6.6582,
CTU5,50.8308,-58.9756,
EDKA,50.8231,6.1864,
CEH4,50.8219,-113.824,
EBKT,50.8189,3.2096,
EDKI,50.8172,7.8306,
EPSS,50.8172,16.5819,
EGHF,50.8142,-1.2033,
CEN2,50.8041,-112.4641,
UWOS,50.8007,60.9024,
CJC4,50.7997,-106.4957,
CRS3,50.7995,-114.0513,
EPDS,50.7969,16.1145,
EDGT,50.7953,8.4583,
EBST,50.7908,5.1996,
EDFI,50.7878,8.3928,
EBTN,50.7817,4.9578,
EGHH,50.7805,-1.8396,
CAZ5,50.7753,-121.3213,
EDKB,50.7689,7.1633,
LKLB,50.7683,15.025,
CAA7,50.7667,-126.483,
CJW5,50.7658,-101.295,
CRF4,50.7647,-113.9581,
EBBE,50.7586,4.7683,
EBGG,50.7556,3.8639,
EDCJ,50.7475,12.8375,
EBAM,50.7401,3.4849,
CFX2,50.7353,-113.935,
EGTE,50.7343,-3.414,
EDOK,50.7328,11.2361,
LFQN,50.7275,2.2326,
CEH2,50.7229,-114.1807,
CYMY,50.7172,-93.3845,
CAW5,50.7167,-127.483,
LKCE,50.7094,14.5667,
EDGS,50.7077,8.083,
EBAV,50.7061,5.0677,
CYKA,50.703,-120.4486,
EPZA,50.7017,23.2044,
EDBI,50.7017,12.4539,
ZYGH,50.7003,121.3825,
CAD7,50.7,-126.6,
LKUL,50.6997,13.9697,
CAH7,50.6985,-120.4319,
UKGW,50.696,26.7,
CCM4,50.6902,-57.3297,
LFQO,50.6872,3.0756,
EDFT,50.6837,9.4117,
CZAM,50.6828,-119.229,
CFL2,50.6818,-110.0432,
UKLC,50.6784,25.4872,
EGHJ,50.6781,-1.1094,
EDGB,50.6764,8.1694,
CYLI,50.6747,-121.894,
EDOS,50.6697,11.0511,
UHSO,50.6692,142.761,
EBIS,50.6636,3.8047,
CMN5,50.6577,-68.831,
CSH8,50.6575,-68.8228,
LKHD,50.6572,15.0778,
EGHN,50.6531,-1.1822,
GIG,50.645,-114.203,
EDAG,50.6442,13.1264,
EDOT,50.644,12.1746,
UUOB,50.6438,36.5901,
EBLG,50.6386,5.4439,
CYBP,50.6336,-111.926,
EPOP,50.6333,17.7817,
EDQS,50.632,10.726,
CBL6,50.6272,-116.095,
EPST,50.6264,21.999,
LKVR,50.6242,15.6464,
CJJ5,50.6194,-108.4702,
LFQT,50.6184,2.6422,
CBF9,50.6089,-118.731,
CAX7,50.6083,-126.306,
UHKD,50.6056,137.081,
UKKM,50.6035,30.1919,
CAQ3,50.5974,-127.5787,
EDGA,50.5931,7.945,
CAM8,50.5922,-127.0884,
CBC3,50.5833,-126.933,
CJE8,50.5833,-93.1667,
CYAL,50.5822,-126.916,
CAT5,50.5735,-127.0277,
EBBY,50.5686,4.4347,
EDGR,50.5664,8.8692,
EDRW,50.5661,7.6533,
LFQQ,50.5633,3.0869,
LKBR,50.5619,16.3428,
EDRA,50.5578,7.1371,
CFT2,50.5524,-113.5832,
EBTX,50.5511,5.854,
EDFL,50.5448,8.5928,
EBBZ,50.5423,4.3825,
LKMH,50.5402,15.0066,
CEN4,50.5342,-113.8434,
EBTY,50.5316,3.4962,
EPKN,50.5292,18.0849,
LKMO,50.525,13.6831,
CAA8,50.5215,-116.0058,
LFAT,50.5183,1.6217,
EPPC,50.5174,20.5168,
UKNG,50.5153,31.0466,
CKJ5,50.5,-96.1,
CKB8,50.5,-96.0981,
CKQ6,50.4994,-99.8978,
EDER,50.4988,9.9542,
EDOA,50.4973,12.378,
EBNM,50.4897,4.7697,
EBSP,50.482,5.9134,
UKVN,50.4792,29.7358,
EPKT,50.476,19.0807,
EDGF,50.4753,9.4432,
LKCH,50.4689,13.4681,
CYHR,50.4683,-59.6378,
LKVP,50.4678,16.2056,
LFQL,50.4664,2.8197,
EBCI,50.461,4.4572,
EBSG,50.458,3.821,
CKL5,50.457,-100.6093,
CAJ7,50.4539,-113.7472,
EDRV,50.4519,6.7841,
CAK6,50.4467,-125.4538,
